transcript_id,gene_id,FSM_match,FSM_match_to_ref,total_count
SIRV507,SIRV5,SIRV507,True,20
SIRV708,SIRV7,SIRV708,True,42
SIRV607,SIRV6,SIRV607,True,36
SIRV307,SIRV3,SIRV307,True,43
SIRV615,SIRV6,SIRV615,True,43
SIRV612,SIRV6,SIRV612,True,93
SIRV613,SIRV6,SIRV613,True,49
SIRV308,SIRV3,SIRV308,True,69
SIRV305,SIRV3,SIRV305,True,22
SIRV109,SIRV1,SIRV109,True,26
SIRV503,SIRV5,SIRV503,True,26
SIRV606,SIRV6,SIRV606,True,35
SIRV406,SIRV4,SIRV406,True,165
SIRV502,SIRV5,SIRV502,True,14
SIRV701,SIRV7,SIRV705,True,15
SIRV405,SIRV4,SIRV405,True,21
SIRV704,SIRV7,SIRV704,True,36
SIRV508,SIRV5,SIRV508,True,70
SIRV301,SIRV3,SIRV301,True,126
SIRV609,SIRV6,SIRV609,True,80
SIRV106,SIRV1,SIRV106,True,38
SIRV616,SIRV6,SIRV616,True,148
SIRV614,SIRV6,SIRV614,True,30
SIRV408,SIRV4,SIRV408,True,25
SIRV409,SIRV4,SIRV409,True,20
SIRV610,SIRV6,SIRV610,True,31
SIRV108,SIRV1,SIRV108,True,33
SIRV611,SIRV6,SIRV611,True,21
SIRV410,SIRV4,SIRV410,True,137
SIRV404,SIRV4,SIRV404,True,46
SIRV202,SIRV2,SIRV202,True,37
SIRV204,SIRV2,SIRV204,True,51
SIRV506,SIRV5,SIRV506,True,71
SIRV604,SIRV6,SIRV604,True,95
SIRV505,SIRV5,SIRV505,True,24
SIRV509,SIRV5,SIRV509,True,25
SIRV706,SIRV7,SIRV706,True,25
SIRV107,SIRV1,SIRV107,True,107
SIRV403,SIRV4,SIRV403,True,17
SIRV608,SIRV6,SIRV608,True,31
SIRV602,SIRV6,SIRV602,True,154
SIRV103,SIRV1,SIRV103,True,22
SIRV105,SIRV1,SIRV105,True,115
